employee_id,fullname,nik_baru,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,nip
DUP1942,Dewi Fadillah Hidayat,,4,4,1,4,1,1,2,2,2,79,325441
DUP2096,Putri Wibowo,,3,3,4,4,2,2,1,3,4,49,149080
DUP2722,Dewi Syahputra,,2,4,5,1,1,2,2,2,2,33,994257
DUP3015,Bayu Kurniawan,,2,4,1,3,5,3,1,4,1,79,391102
DUP3452,Fitri Anugrah Subekti,,1,4,3,3,5,3,3,1,5,50,890632
DUP4177,Adi Ginting,,4,2,6,4,4,2,3,2,1,75,116115
DUP5237,Fajar Fauziah,,1,4,4,6,1,3,2,1,6,8,165207
DUP9015,Umar Maulana,,4,4,5,2,2,1,2,3,3,50,791731
DUP9129,Nabila Dharma Salsabila,,3,3,6,5,3,2,3,4,2,50,446315
DUP9801,Ayu Kusuma Santoso,,2,3,3,3,1,3,1,2,4,7,889823
EMP100000,Rendra Pratama,,1,4,1,6,3,3,2,3,1,64,806137
EMP100001,Wulan Setiawan,,4,4,4,5,5,3,1,1,2,16,476388
EMP100002,Julia Jatmiko Situmorang,,1,3,5,1,1,3,1,3,1,58,941921
EMP100003,Oka Halim,,1,3,4,2,1,1,2,2,5,15,751615
EMP100004,Dwi Pratama,,3,4,6,5,3,3,1,1,5,34,443809
EMP100005,Bayu Zulfikar,,1,1,5,2,3,1,1,3,1,66,590302
EMP100006,Indra Santoso,,1,3,3,2,1,2,1,1,4,82,826406
EMP100007,Rani Mahendra,,4,3,4,3,2,2,3,2,1,56,878510
EMP100008,Gita Permadi,,2,4,3,1,5,1,1,4,1,40,189647
EMP100009,Julia Anggara,,1,2,5,6,4,1,3,3,2,77,931718
EMP100010,Maya Jatmiko Handayani,,2,3,4,3,2,2,3,1,4,29,967930
EMP100011,Fajar Halim,,4,1,3,5,2,3,3,2,1,51,617452
EMP100012,Rendra Tri Purnama,,1,2,2,3,2,1,2,4,6,3,457211
